open,high,low,close,qty,tradeTime,tradeDate
106501.0,106501.0,105500.0,105795.0,3879,09:04:58,2025-09-04
105799.0,105839.0,105730.0,105816.0,1045,09:09:52,2025-09-04
105831.0,105838.0,105772.0,105785.0,631,09:14:58,2025-09-04
105799.0,105806.0,105770.0,105771.0,523,09:19:58,2025-09-04
105781.0,105795.0,105730.0,105730.0,510,09:24:54,2025-09-04
105735.0,105768.0,105723.0,105758.0,399,09:29:59,2025-09-04
105742.0,105850.0,105742.0,105850.0,561,09:34:59,2025-09-04
105842.0,105957.0,105839.0,105930.0,644,09:39:58,2025-09-04
105940.0,105940.0,105880.0,105883.0,323,09:44:54,2025-09-04
105880.0,105917.0,105859.0,105896.0,243,09:49:57,2025-09-04
105896.0,105896.0,105835.0,105846.0,214,09:54:57,2025-09-04
105846.0,105900.0,105842.0,105890.0,123,09:59:58,2025-09-04
105870.0,105900.0,105864.0,105900.0,232,10:04:58,2025-09-04
105877.0,105900.0,105850.0,105861.0,190,10:09:55,2025-09-04
105885.0,105897.0,105851.0,105851.0,129,10:14:59,2025-09-04
105859.0,105885.0,105832.0,105880.0,152,10:19:57,2025-09-04
105880.0,105938.0,105875.0,105915.0,178,10:24:59,2025-09-04
105930.0,105993.0,105921.0,105980.0,177,10:29:55,2025-09-04
105994.0,105999.0,105940.0,105958.0,256,10:34:51,2025-09-04
105958.0,106038.0,105949.0,106038.0,467,10:39:59,2025-09-04
106035.0,106066.0,105983.0,106030.0,333,10:44:58,2025-09-04
106032.0,106035.0,105962.0,105962.0,110,10:49:59,2025-09-04
105976.0,105984.0,105930.0,105971.0,136,10:54:59,2025-09-04
105971.0,106000.0,105935.0,105990.0,81,10:59:58,2025-09-04
105990.0,106006.0,105906.0,105942.0,181,11:04:59,2025-09-04
105964.0,105965.0,105912.0,105937.0,78,11:09:39,2025-09-04
105946.0,106000.0,105937.0,105997.0,127,11:14:54,2025-09-04
105993.0,106041.0,105972.0,105996.0,202,11:19:54,2025-09-04
105970.0,105970.0,105850.0,105921.0,274,11:24:56,2025-09-04
105921.0,105949.0,105857.0,105883.0,120,11:29:54,2025-09-04
105877.0,105925.0,105845.0,105917.0,170,11:34:54,2025-09-04
105925.0,105969.0,105917.0,105939.0,82,11:39:57,2025-09-04
105940.0,106030.0,105940.0,106008.0,122,11:44:46,2025-09-04
106008.0,106020.0,105979.0,106002.0,123,11:49:53,2025-09-04
106002.0,106084.0,106000.0,106058.0,159,11:54:57,2025-09-04
106080.0,106216.0,106061.0,106186.0,556,11:59:57,2025-09-04
106186.0,106300.0,106160.0,106280.0,589,12:04:59,2025-09-04
106280.0,106285.0,106150.0,106205.0,366,12:09:59,2025-09-04
106210.0,106297.0,106207.0,106258.0,215,12:14:59,2025-09-04
106267.0,106279.0,106217.0,106227.0,209,12:19:58,2025-09-04
106231.0,106250.0,106167.0,106200.0,198,12:24:52,2025-09-04
106194.0,106221.0,106182.0,106207.0,72,12:29:59,2025-09-04
106191.0,106210.0,106100.0,106148.0,183,12:34:56,2025-09-04
106150.0,106250.0,106145.0,106189.0,101,12:39:55,2025-09-04
106189.0,106250.0,106180.0,106218.0,69,12:44:53,2025-09-04
106214.0,106250.0,106201.0,106205.0,59,12:49:58,2025-09-04
106206.0,106224.0,106170.0,106191.0,95,12:54:30,2025-09-04
106186.0,106212.0,106171.0,106206.0,73,12:59:59,2025-09-04
106191.0,106230.0,106180.0,106230.0,72,13:04:59,2025-09-04
106230.0,106284.0,106230.0,106260.0,126,13:09:59,2025-09-04
106253.0,106265.0,106234.0,106255.0,70,13:14:53,2025-09-04
106255.0,106275.0,106240.0,106268.0,63,13:19:39,2025-09-04
106268.0,106280.0,106250.0,106260.0,57,13:24:59,2025-09-04
106273.0,106320.0,106261.0,106320.0,93,13:29:58,2025-09-04
106320.0,106443.0,106320.0,106400.0,452,13:34:55,2025-09-04
106395.0,106440.0,106381.0,106422.0,206,13:39:58,2025-09-04
106415.0,106432.0,106384.0,106390.0,187,13:44:58,2025-09-04
106390.0,106395.0,106328.0,106356.0,164,13:49:58,2025-09-04
106360.0,106360.0,106262.0,106265.0,314,13:54:58,2025-09-04
106277.0,106320.0,106262.0,106309.0,162,13:59:54,2025-09-04
106332.0,106376.0,106300.0,106310.0,284,14:04:26,2025-09-04
106304.0,106350.0,106287.0,106308.0,84,14:09:54,2025-09-04
106280.0,106341.0,106260.0,106287.0,123,14:14:41,2025-09-04
106288.0,106303.0,106203.0,106204.0,198,14:19:57,2025-09-04
106204.0,106204.0,106144.0,106146.0,267,14:24:44,2025-09-04
106152.0,106246.0,106151.0,106246.0,196,14:29:58,2025-09-04
106244.0,106292.0,106222.0,106282.0,257,14:34:59,2025-09-04
106284.0,106285.0,106241.0,106250.0,82,14:39:50,2025-09-04
106250.0,106315.0,106250.0,106309.0,118,14:44:54,2025-09-04
106308.0,106350.0,106250.0,106250.0,181,14:49:57,2025-09-04
106288.0,106299.0,106275.0,106295.0,65,14:54:35,2025-09-04
106298.0,106298.0,106210.0,106234.0,80,14:59:56,2025-09-04
106215.0,106240.0,106173.0,106200.0,160,15:04:58,2025-09-04
106198.0,106225.0,106183.0,106200.0,202,15:09:57,2025-09-04
106195.0,106214.0,106131.0,106201.0,215,15:14:56,2025-09-04
106214.0,106243.0,106150.0,106166.0,183,15:19:51,2025-09-04
106185.0,106185.0,106152.0,106156.0,117,15:24:58,2025-09-04
106155.0,106159.0,106110.0,106135.0,238,15:29:59,2025-09-04
106134.0,106200.0,106129.0,106200.0,157,15:34:56,2025-09-04
106200.0,106379.0,106199.0,106378.0,331,15:39:56,2025-09-04
106371.0,106371.0,106267.0,106349.0,182,15:44:59,2025-09-04
106350.0,106350.0,106270.0,106276.0,130,15:49:56,2025-09-04
106276.0,106290.0,106240.0,106250.0,109,15:54:55,2025-09-04
106250.0,106256.0,106202.0,106256.0,85,15:59:31,2025-09-04
106259.0,106300.0,106252.0,106297.0,84,16:04:53,2025-09-04
106290.0,106294.0,106270.0,106288.0,57,16:09:58,2025-09-04
